_date,total_clones,unique_clones
2023-06-18,1,1
2023-06-19,1,1
2023-06-22,2,1
2023-06-23,61,11
2023-06-25,1,1
2023-06-26,7,4
2023-07-03,5,3
2023-07-10,8,5
2023-07-17,6,3
2023-07-19,1,1
2023-07-21,1,1
2023-07-24,7,5
2023-07-28,3,2
2023-07-31,4,2
2023-08-01,1,1
2023-08-03,1,1
2023-08-07,8,6
2023-08-08,2,1
2023-08-10,1,1
2023-08-14,5,3
2023-08-19,2,2
2023-08-21,5,4
2023-08-24,1,1
2023-08-28,8,6
2023-09-02,8,7
2023-09-04,7,5
2023-09-05,2,1
2023-09-11,7,5
2023-09-12,2,1
2023-09-15,2,2
2023-09-16,1,1
2023-09-18,6,4
2023-09-19,1,1
2023-09-20,1,1
2023-09-24,3,1
2023-09-25,3,2
2023-09-26,1,1
2023-09-28,3,1
2023-10-02,4,4
2023-10-03,1,1
2023-10-09,3,3
2023-10-10,2,1
2023-10-11,1,1
2023-10-12,1,1
2023-10-16,7,6
2023-10-23,4,4
2023-10-25,1,1
2023-10-30,4,4
2023-10-31,3,2
2023-11-06,5,4
2023-11-13,4,4
2023-11-14,1,1
2023-11-20,3,3
2023-11-21,1,1
2023-11-27,4,3
2023-11-28,1,1
2023-12-04,3,2
2023-12-08,2,1
2023-12-09,1,1
2023-12-10,1,1
2023-12-11,8,5
2023-12-18,5,4
2023-12-22,1,1
2023-12-25,5,3
2023-12-26,1,1
2023-12-28,1,1
2023-12-30,2,1
2024-01-01,4,3
2024-01-02,1,1
2024-01-08,3,2
2024-01-12,1,1
2024-01-15,3,2
2024-01-16,1,1
2024-01-17,1,1
2024-01-22,5,3
2024-01-29,4,3
2024-01-30,1,1
2024-02-05,3,2
2024-02-06,1,1
2024-02-12,4,3
2024-02-19,3,2
2024-02-26,4,3
2024-03-04,3,2
2024-03-07,1,1
2024-03-11,5,4
2024-03-18,4,3
2024-03-21,1,1
2024-03-23,1,1
2024-03-25,4,3
2024-03-28,1,1
2024-04-01,4,3
2024-04-08,4,3
2024-04-09,2,2
2024-04-15,4,3
2024-04-16,1,1
2024-04-18,1,1
2024-04-22,5,3
2024-04-28,1,1
2024-04-29,4,3
2024-04-30,1,1
2024-05-03,1,1
2024-05-04,1,1
2024-05-06,6,5
2024-05-07,1,1
2024-05-10,1,1
2024-05-11,1,1
2024-05-13,5,4
2024-05-17,1,1
2024-05-19,1,1
2024-05-20,7,5
2024-05-21,2,1
2024-05-27,4,3
2024-06-03,6,5
2024-06-08,1,1
2024-06-10,6,4
2024-06-13,1,1
2024-06-17,2,1
2024-06-24,4,3
2024-07-01,4,3
2024-07-04,1,1
2024-07-07,1,1
2024-07-08,5,4
2024-07-09,1,1
2024-07-15,4,3
2024-07-22,5,3
2024-07-29,3,2
2024-08-05,5,4
2024-08-12,3,2
2024-08-13,1,1
2024-08-19,4,3
2024-08-26,3,2
2024-08-30,1,1
2024-09-02,4,3
2024-09-05,1,1
2024-09-06,1,1
2024-09-09,4,3
2024-09-11,1,1
2024-09-16,3,2
2024-09-23,3,2
2024-09-30,2,1
2024-10-07,2,1
2024-10-14,4,3
2024-10-21,4,2
2024-10-22,1,1
2024-10-28,3,2
2024-11-04,3,2
2024-11-11,3,2
2024-11-15,1,1
2024-11-18,3,2
2024-11-25,3,2
2024-12-02,5,4
2024-12-09,4,2
2024-12-16,3,2
2024-12-23,3,2
2024-12-30,7,5
2025-01-06,5,4
2025-01-13,4,3
2025-01-14,1,1
2025-01-20,4,3
2025-01-27,4,3
2025-02-03,6,5
2025-02-05,1,1
2025-02-06,1,1
2025-02-07,1,1
2025-02-10,4,3
2025-02-13,1,1
2025-02-15,2,2
2025-02-17,4,3
2025-02-20,1,1
2025-02-24,4,3
2025-02-28,1,1
2025-03-02,1,1
2025-03-03,8,6
2025-03-05,1,1
2025-03-06,1,1
2025-03-07,1,1
2025-03-09,3,3
2025-03-10,4,3
2025-03-15,1,1
2025-03-16,1,1
